country,year,risk_score,risk_prediction,crisis_composite
Nigeria,1990.0,1.0212331,0,0
Nigeria,1991.0,0.6550169,0,0
Nigeria,1992.0,1.5701373,0,0
Nigeria,1993.0,1.4622477,0,0
Nigeria,1994.0,1.8467139,0,0
Nigeria,1995.0,2.6822584,0,0
Nigeria,1996.0,0.7524125,0,0
Nigeria,1997.0,0.6471974,0,0
Nigeria,1998.0,2.0454721,0,0
Nigeria,1999.0,2.1576598,0,0
Nigeria,2000.0,0.74401283,0,0
Nigeria,2001.0,0.74035925,0,0
Nigeria,2002.0,2.07945,0,0
Nigeria,2003.0,1.6344382,0,0
Nigeria,2004.0,0.84512234,0,0
Nigeria,2005.0,0.8191105,0,0
Nigeria,2006.0,0.6819322,0,0
Nigeria,2007.0,3.4112904,0,0
Nigeria,2008.0,5.1217904,0,0
Nigeria,2009.0,3.5790641,0,0
Nigeria,2010.0,97.57531,1,1
Nigeria,2011.0,99.87323,1,1
Nigeria,2012.0,99.70369,1,1
Nigeria,2013.0,99.93282,1,1
Rwanda,1990.0,0.01893872,0,0
Rwanda,1991.0,0.01893872,0,0
Rwanda,1992.0,0.01893872,0,0
Rwanda,1993.0,0.01893872,0,0
Rwanda,1994.0,0.01893872,0,0
Rwanda,1995.0,0.01893872,0,0
Rwanda,1996.0,0.01893872,0,0
Rwanda,1997.0,0.01893872,0,0
Rwanda,1998.0,0.020643054,0,0
Rwanda,1999.0,0.020643054,0,0
Rwanda,2000.0,0.02224013,0,0
Rwanda,2001.0,0.02055473,0,0
Rwanda,2002.0,0.026228532,0,0
Rwanda,2003.0,0.02031525,0,0
Rwanda,2004.0,0.023336736,0,0
Rwanda,2005.0,0.021062482,0,0
Rwanda,2006.0,0.020789538,0,0
Rwanda,2007.0,0.016359583,0,0
Rwanda,2008.0,0.026228532,0,0
Rwanda,2009.0,0.019196449,0,0
Rwanda,2010.0,0.021062482,0,0
Rwanda,2011.0,0.021158434,0,0
Rwanda,2012.0,0.0190252,0,0
Rwanda,2013.0,0.11524864,0,0
Senegal,2000.0,0.03349843,0,0
Senegal,2001.0,0.03349843,0,0
Senegal,2002.0,0.03349843,0,0
Senegal,2003.0,0.03349843,0,0
Senegal,2004.0,0.03349843,0,0
Senegal,2005.0,0.03349843,0,0
Senegal,2006.0,0.03349843,0,0
Senegal,2007.0,0.03349843,0,0
Senegal,2008.0,0.03349843,0,0
Senegal,2009.0,0.03349843,0,0
Senegal,2010.0,0.03349843,0,0
Senegal,2011.0,0.03349843,0,0
Senegal,2012.0,0.03349843,0,0
Senegal,2013.0,0.034467243,0,0
South Africa,1960.0,0.015486317,0,0
South Africa,1961.0,0.015486317,0,0
South Africa,1962.0,0.012417231,0,0
South Africa,1963.0,0.013354857,0,0
South Africa,1964.0,0.013354857,0,0
South Africa,1965.0,0.013354857,0,0
South Africa,1966.0,0.013354857,0,0
South Africa,1967.0,0.011964819,0,0
South Africa,1968.0,0.016090965,0,0
South Africa,1969.0,0.013354857,0,0
South Africa,1970.0,0.013354857,0,0
South Africa,1971.0,0.011964819,0,0
South Africa,1972.0,0.013047349,0,0
South Africa,1973.0,0.011964819,0,0
South Africa,1974.0,0.011964819,0,0
South Africa,1975.0,0.012417231,0,0
South Africa,1976.0,0.015486317,0,0
South Africa,1977.0,0.012417231,0,0
South Africa,1978.0,0.011964819,0,0
South Africa,1979.0,0.0108926715,0,0
South Africa,1980.0,0.0108926715,0,0
South Africa,1981.0,0.011068355,0,0
South Africa,1982.0,0.0108926715,0,0
South Africa,1983.0,0.0108926715,0,0
South Africa,1984.0,0.014098656,0,0
South Africa,1985.0,0.011188638,0,0
South Africa,1986.0,0.013570997,0,0
South Africa,1987.0,0.01775549,0,0
South Africa,1988.0,0.016617911,0,0
South Africa,1989.0,0.0108926715,0,0
South Africa,1990.0,0.0108926715,0,0
South Africa,1991.0,0.0108926715,0,0
South Africa,1992.0,0.0108926715,0,0
South Africa,1993.0,0.01775549,0,0
South Africa,1994.0,0.011304547,0,0
South Africa,1995.0,0.0108926715,0,0
South Africa,1996.0,0.014859925,0,0
South Africa,1997.0,0.0118955625,0,0
South Africa,1998.0,0.0136432545,0,0
South Africa,1999.0,0.011943254,0,0
South Africa,2000.0,0.014446952,0,0
South Africa,2001.0,0.011433697,0,0
South Africa,2002.0,0.01635762,0,0
South Africa,2003.0,0.01561526,0,0
South Africa,2004.0,0.016660098,0,0
South Africa,2005.0,0.012837148,0,0
South Africa,2006.0,0.013695653,0,0
South Africa,2007.0,0.012396941,0,0
South Africa,2008.0,0.013639613,0,0
South Africa,2009.0,0.013696842,0,0
South Africa,2010.0,0.025008779,0,0
South Africa,2011.0,0.023510331,0,0
South Africa,2012.0,0.018774461,0,0
South Africa,2013.0,0.017988918,0,0
Tanzania,1997.0,0.015000209,0,0
Tanzania,1998.0,0.015000209,0,0
Tanzania,1999.0,0.015000209,0,0
Tanzania,2000.0,0.015000209,0,0
Tanzania,2001.0,0.015000209,0,0
Tanzania,2002.0,0.015000209,0,0
Tanzania,2003.0,0.015000209,0,0
Tanzania,2004.0,0.013422226,0,0
Tanzania,2005.0,0.015231279,0,0
Tanzania,2006.0,0.012946025,0,0
Tanzania,2007.0,0.015979623,0,0
Tanzania,2008.0,0.012946025,0,0
Tanzania,2009.0,0.015979623,0,0
Tanzania,2010.0,0.013581742,0,0
Tanzania,2011.0,0.015280505,0,0
Tanzania,2012.0,0.012953149,0,0
Tanzania,2013.0,0.022402748,0,0
Togo,1965.0,0.22318648,0,0
Togo,1966.0,0.22318648,0,0
Togo,1967.0,0.22318648,0,0
Togo,1968.0,0.22318648,0,0
Togo,1969.0,0.22318648,0,0
Togo,1970.0,0.22318648,0,0
Togo,1971.0,0.22318648,0,0
Togo,1972.0,0.22318648,0,0
Togo,1973.0,0.22318648,0,0
Togo,1974.0,0.22318648,0,0
Togo,1975.0,0.22318648,0,0
Togo,1976.0,0.31140375,0,0
Togo,1977.0,12.313239,0,0
Togo,1978.0,98.54376,1,1
Togo,1979.0,99.52295,1,1
Togo,1980.0,99.730576,1,1
Togo,1981.0,99.76579,1,1
Togo,1982.0,99.68797,1,1
Togo,1983.0,99.543236,1,1
Togo,1984.0,99.76841,1,1
Togo,1985.0,99.64759,1,1
Togo,1986.0,99.78974,1,1
Togo,1987.0,99.729866,1,1
Togo,1988.0,99.77452,1,1
Togo,1989.0,99.19721,1,1
Togo,1990.0,14.275068,0,0
Togo,1991.0,5.487553,0,0
Togo,1992.0,9.357324,0,0
Togo,1993.0,99.8569,1,1
Togo,1994.0,99.9252,1,1
Togo,1995.0,98.867096,1,1
Togo,1996.0,6.4083633,0,0
Togo,1997.0,0.14828904,0,0
Togo,1998.0,99.805466,1,1
Togo,1999.0,97.82108,1,1
Togo,2000.0,4.8134985,0,0
Togo,2001.0,0.11316749,0,0
Togo,2002.0,0.10347221,0,0
Togo,2003.0,0.09768589,0,0
Togo,2004.0,0.06820113,0,0
Togo,2005.0,0.056884345,0,0
Togo,2006.0,0.06937489,0,0
Togo,2007.0,0.05515308,0,0
Togo,2008.0,0.08734138,0,0
Togo,2009.0,0.06834532,0,0
Togo,2010.0,0.025298769,0,0
Togo,2011.0,0.023535114,0,0
Togo,2012.0,1.5752709,0,0
Togo,2013.0,1.3185339,0,0
Algeria,2014.0,0.024658432,0,0
Algeria,2015.0,0.017176928,0,0
Algeria,2016.0,0.015969405,0,0
Algeria,2017.0,0.014009647,0,0
Algeria,2018.0,0.012466762,0,0
Algeria,2019.0,0.015804166,0,0
Algeria,2020.0,0.019743279,0,0
Algeria,2021.0,0.018255189,0,0
Algeria,2022.0,0.014895121,0,0
Algeria,2023.0,0.017176928,0,0
Algeria,2024.0,0.015301209,0,0
Algeria,2025.0,0.022871768,0,0
Angola,2014.0,0.017807016,0,0
Angola,2015.0,0.019340025,0,0
Angola,2016.0,0.020566728,0,0
Angola,2017.0,0.023145791,0,0
Angola,2018.0,0.02092359,0,0
Angola,2019.0,0.023195187,0,0
Angola,2020.0,0.020566728,0,0
Angola,2021.0,0.023755463,0,0
Angola,2022.0,0.023153406,0,0
Angola,2023.0,0.021354988,0,0
Angola,2024.0,0.017697027,0,0
Angola,2025.0,0.013548939,0,0
Botswana,2014.0,0.013131097,0,0
Botswana,2015.0,0.013131097,0,0
Botswana,2016.0,0.013131097,0,0
Botswana,2017.0,0.013131097,0,0
Botswana,2018.0,0.013131097,0,0
Botswana,2019.0,0.013131097,0,0
Botswana,2020.0,0.013131097,0,0
Botswana,2021.0,0.013131097,0,0
Botswana,2022.0,0.013131097,0,0
Botswana,2023.0,0.013131097,0,0
Botswana,2024.0,0.013131097,0,0
Botswana,2025.0,0.013131097,0,0
Egypt,2014.0,99.82839,1,1
Egypt,2015.0,99.89371,1,1
Egypt,2016.0,95.654915,1,1
Egypt,2017.0,99.663284,1,1
Egypt,2018.0,99.816986,1,1
Egypt,2019.0,99.77469,1,1
Egypt,2020.0,99.819496,1,1
Egypt,2021.0,99.72418,1,1
Egypt,2022.0,99.22092,1,1
Egypt,2023.0,99.48713,1,1
Egypt,2024.0,93.539085,1,0
Egypt,2025.0,97.15532,1,0
Ethiopia,2014.0,0.071577996,0,0
Ethiopia,2015.0,0.5101495,0,0
Ethiopia,2016.0,0.33459267,0,0
Ethiopia,2017.0,0.45796493,0,0
Ethiopia,2018.0,0.13441575,0,0
Ethiopia,2019.0,0.044728726,0,0
Ethiopia,2020.0,0.036243144,0,0
Ethiopia,2021.0,0.031635094,0,0
Ethiopia,2022.0,0.049266487,0,0
Ethiopia,2023.0,0.04758491,0,0
Ethiopia,2024.0,0.043669183,0,0
Ghana,2014.0,0.027087813,0,1
Ghana,2015.0,0.054277312,0,0
Ghana,2016.0,0.048152145,0,0
Ghana,2017.0,0.05715335,0,0
Ghana,2018.0,0.057741005,0,0
Ghana,2019.0,0.043543067,0,0
Ghana,2020.0,0.042169545,0,0
Ghana,2021.0,0.03998118,0,0
Ghana,2022.0,0.070953615,0,0
Ghana,2023.0,0.034421943,0,0
Ghana,2024.0,0.0930849,0,0
Ghana,2025.0,0.034421943,0,0
Ivory Coast,2014.0,0.1633135,0,0
Ivory Coast,2015.0,0.2513708,0,0
Ivory Coast,2016.0,3.2201788,0,0
Ivory Coast,2017.0,0.4313314,0,0
Ivory Coast,2018.0,0.34413517,0,0
Ivory Coast,2019.0,0.25880703,0,0
Ivory Coast,2020.0,90.148125,1,1
Ivory Coast,2021.0,8.6102085,0,0
Ivory Coast,2022.0,95.71654,1,1
Ivory Coast,2023.0,96.01466,1,1
Ivory Coast,2024.0,0.9377703,0,0
Ivory Coast,2025.0,0.3533261,0,0
Kenya,2014.0,0.022004692,0,0
Kenya,2015.0,0.014189193,0,0
Kenya,2016.0,0.015089237,0,0
Kenya,2017.0,0.014189193,0,0
Kenya,2018.0,0.016249064,0,0
Kenya,2019.0,0.018139768,0,0
Kenya,2020.0,0.013952188,0,0
Kenya,2021.0,0.016396018,0,0
Kenya,2022.0,0.013694243,0,0
Kenya,2023.0,0.014015219,0,0
Kenya,2024.0,0.6073894,0,0
Kenya,2025.0,2.434683,0,0
Nigeria,2014.0,99.6753,1,1
Nigeria,2015.0,81.42111,1,1
Nigeria,2016.0,98.86677,1,1
Nigeria,2017.0,99.50453,1,1
Nigeria,2018.0,99.555534,1,1
Nigeria,2019.0,99.79083,1,1
Nigeria,2020.0,98.53958,1,1
Nigeria,2021.0,99.55492,1,1
Nigeria,2022.0,99.591515,1,1
Nigeria,2023.0,98.532074,1,1
Nigeria,2024.0,98.66582,1,1
Nigeria,2025.0,96.22894,1,0
Rwanda,2014.0,0.11268734,0,0
Rwanda,2015.0,0.09264555,0,0
Rwanda,2016.0,0.104492635,0,0
Rwanda,2017.0,0.10529106,0,0
Rwanda,2018.0,0.15662831,0,0
Rwanda,2019.0,0.030081963,0,0
Rwanda,2020.0,0.032292165,0,1
Rwanda,2021.0,0.22626282,0,1
Rwanda,2022.0,0.12860838,0,0
Rwanda,2023.0,0.11868825,0,1
Rwanda,2024.0,2.7628028,0,0
Rwanda,2025.0,2.5870917,0,0
Senegal,2014.0,0.04452354,0,0
Senegal,2015.0,0.04452354,0,0
Senegal,2016.0,0.04452354,0,0
Senegal,2017.0,0.08280709,0,0
Senegal,2018.0,0.07314155,0,0
Senegal,2019.0,0.07113358,0,0
Senegal,2020.0,2.0922961,0,1
Senegal,2021.0,2.1578603,0,1
Senegal,2022.0,1.8975737,0,1
Senegal,2023.0,0.24411713,0,0
Senegal,2024.0,0.2724844,0,0
Senegal,2025.0,0.048528787,0,0
South Africa,2014.0,0.017988918,0,0
South Africa,2015.0,0.017988918,0,0
South Africa,2016.0,0.017988918,0,0
South Africa,2017.0,0.019107608,0,0
South Africa,2018.0,0.022906948,0,0
South Africa,2019.0,0.019366505,0,0
South Africa,2020.0,0.019505681,0,0
South Africa,2021.0,0.023052584,0,0
South Africa,2022.0,0.018224092,0,0
South Africa,2023.0,0.023061575,0,0
South Africa,2024.0,0.025967171,0,1
South Africa,2025.0,0.018285796,0,0
Tanzania,2014.0,0.025734628,0,0
Tanzania,2015.0,0.022873925,0,0
Tanzania,2016.0,0.029489022,0,0
Tanzania,2017.0,0.030096076,0,0
Tanzania,2018.0,0.030560263,0,0
Tanzania,2019.0,0.029138284,0,0
Tanzania,2020.0,0.025171373,0,0
Tanzania,2021.0,0.02732695,0,0
Tanzania,2022.0,0.031425785,0,0
Tanzania,2023.0,0.027755953,0,0
Tanzania,2024.0,0.029796472,0,0
Tanzania,2025.0,0.024333887,0,0
Togo,2014.0,11.503543,0,0
Togo,2015.0,14.606425,0,0
Togo,2016.0,98.89627,1,1
Togo,2017.0,41.466976,0,0
Togo,2018.0,3.4036536,0,0
Togo,2019.0,0.046080746,0,0
Togo,2020.0,53.39096,1,1
Togo,2021.0,2.2331505,0,0
Togo,2022.0,98.22943,1,1
Togo,2023.0,81.55659,1,1
Togo,2024.0,65.26626,1,1
Togo,2025.0,9.538279,0,0
